tibetan_term,translation,category,context,commentary_reference,entity_category
ཆོས་ཀྱི་སྐུ,法身,佛教哲学概念,佛陀三身之一，表示佛陀的法性本体，超越形相的真如本性,从源文分析：此术语由'ཆོས་'（法）和'སྐུ་'（身）组成，指佛陀最根本的存在形式，在翻译中保留为'法身',
སྲས,佛子,佛教术语,指菩萨或佛陀的精神继承者，如实践菩萨道的修行者,从源文分析：术语'སྲས་'字面意为'儿子'，在佛教语境中特指继承佛陀教法的菩萨，在译文中表现为'佛子',修行者类别
ཕྱག་འཚལ,顶礼,仪轨用语,佛教礼敬方式，表示对佛、法、僧三宝的最高敬意,从源文分析：此动词表达恭敬礼拜之意，原文中与'གུས་པར་'（恭敬地）连用，在译文中表现为'虔诚顶礼',
སྡོམ,律仪,戒律术语,指菩萨应遵守的戒律和行为准则，为菩提道修行的基础,从源文分析：此词在藏文中表示'约束'或'戒律'，在译文中使用'律仪'一词，特指菩萨应当持守的戒律,
འཇུག་པ,入,修行术语,指进入或受持菩萨律仪的过程，在译文中体现为'入菩提正道',从源文分析：藏文'འཇུག་པ་'表示'进入'或'受持'之意，用于描述接受和实践菩萨戒律的行为,
ལུང་བཞིན,依教,佛教文献术语,按照佛教经典或论著的教导，依照权威教法,从源文分析：'ལུང་'指'经教'或'教法'，'བཞིན'表示'依照'，合译为'依教'，表示作者依据权威经典进行论述,
མདོར་བསྡུས,简要,文体术语,以简明扼要的方式阐述复杂的教义，不作冗长解释,从源文分析：此词由'མདོར་'（简略地）和'བསྡུས་'（摘要、总结）组成，表示作者将以简洁的方式进行论述,
བརྗོད་པར་བྱ,宣说,教法传授术语,讲述或阐明佛法义理，公开传授教法,从源文分析：此动词结构表示'将要说明'或'宣说'之意，反映作者的意愿和承诺，在译文中表现为'宣说',
[placeholder],[no translation available],[unknown],[context unavailable],[no reference available],
དགེ་བ,善法,哲学术语,佛教术语，指善行、善德，能带来积极业果的行为。在文中用作修行的对象。,从源文分析：此词对应梵文kuśala，是佛教伦理学的核心概念，指有功德的行为。在文本中作为修行的对象出现。,
བསྒོམ,修,修行术语,指通过冥想等方式培养心性的修行过程。在译文中体现为'修诸善法'。,从源文分析：此词对应梵文bhāvayitum，表示佛教修行方式，原意为'修习'、'培养'，在藏传佛教中常指对法义的深入思考及实修。,
བདག,吾,代词,自称代词，在佛教文本中表示行者自身。译文采用古雅的'吾'字表达。,从源文分析：文本使用第一人称（བདག་-我）表述，体现个人修行立场。在佛教哲学中，'我'的概念有特殊含义，通常与无我(anātman)教义相关。,
དད་པ,信心,心理术语,佛教修行的基础，指对三宝的清净信仰，是修行者进入佛道的重要条件。,从源文分析：此词对应梵文prasāda，意为'净信'，在佛教中指对三宝的坚定信仰，是修行的基础条件之一。,
ཤུགས,力,形容词,与'信心'组合成'信心力'，指信仰的强度与动力。,从源文分析：在藏文中表示'力量'、'强度'，与'དད་པ'(信心)结合形成复合概念'信心力'，表示信仰的强度和推动力。,
འདི་དག,此,语法词,指示代词，指代上文中提到的教法或善行。在译文中体现为'因此'和'见此教法者'。,从源文分析：藏文指示代词复数，意为'这些'，在文中两次出现，指代文中所述的教法或善行。,
འཕེལ་འགྱུར,增长,动词,指信心或善行的发展壮大过程。在译文中表现为'增长'。,从源文分析：这是一个复合动词，由'འཕེལ་'(增长)和'འགྱུར་'(变化)组成，表示逐渐增强或发展的过程。,
སྐལ་བ,福缘,佛教术语,佛教术语，指众生与佛法相遇的因缘条件，表示宿世福报。,从源文分析：此词对应梵文dhātu，指众生与佛法相遇的因缘条件，常表示前世积累的善业带来的遇法机会。,
མཉམ་པ,共,形容词,表示平等、相同的意思，译文中体现为'与我共福缘'，指有相同善缘的人。,从源文分析：原意为'相同'、'平等'，在文中修饰'སྐལ་བ'(福缘)，指具有相同修行缘分的人。,
གཞན,他人,代词,指除自己以外的人，在文中特指那些与作者有相同福缘的众生。,从源文分析：在藏文中表示'他者'、'其他人'，在佛教文献中常指其他修行者或众生。,
མཐོང,见,动词,指看见、遇见教法的行为，在佛教中常有更深层的理解义。,从源文分析：原意为'见到'，在佛教文献中常不仅指物理上的看见，也包含对教法的理解与体悟。,
དོན་ཡོད,利益,佛教术语,指行为产生的实质性精神收益，在译文中表现为'亦得大利益'。,从源文分析：对应梵文sārthaka，字面意思是'有意义'、'有利益'，在佛教中指行为产生的实质性精神收益，表示修行的成果。,
རྒྱ་གར་སྐད་དུ,梵语,书写惯例,表示文本标题的原始语言，用于指明佛教文献的来源,从源文本分析：这是藏文佛典中常见的开篇格式，表明文本的印度来源和权威性，词义直译为'用印度语言',
བོ་དྷི་སཏྭ་,菩薩,教义术语,佛教中指发菩提心、修菩萨行、求证佛果的修行者,从源文本分析：这是梵文'Bodhisattva'的藏文音译，在藏文中保留了梵文原音,
ཙརྱ་,行,修行术语,指菩萨的修行、行为或实践方法,从源文本分析：对应梵文'Carya'，表示修行者的行为或修行实践,
ཨ་བ་ཏཱ་ར,入,修行术语,意为引导或进入某种修行状态或境界,从源文本分析：对应梵文'Avatara'，表示'入'或'进入'之意，在此语境中指引导进入菩萨修行,
བོ་དྷི་སཏྭ་ཙརྱ་ཨ་བ་ཏཱ་ར,入菩薩行論,经典名称,著名佛教经典名称，论述菩萨修行之道,从源文本分析：这是完整梵文标题'Bodhisattvacharyavatara'的藏文音译，为寂天菩萨所著的重要佛教论著,文献
བྱང་ཆུབ་,菩提,哲学术语,指完全觉悟的状态，是佛教修行的终极目标,从源文分析：源自梵文'bodhi'，表示觉悟或开悟的状态，是佛教核心概念之一,
སེམས་དཔའ་,菩萨,佛教人物类别,指发菩提心、追求觉悟以利益一切众生的修行者,从源文分析：表示具有勇猛心志的修行者，在藏文中'སེམས་'指心，'དཔའ་'指勇敢,
སྤྱོད་པ་,行,修行术语,在佛教语境中特指菩萨的修行方式和实践,从源文分析：藏文表示行为、实践或修行的方式，在此文本中特指菩萨的六度万行,
འཇུག་པ།,入,修行术语,表示进入或开始一种修行方式,从源文分析：藏文动名词，表示进入或投入的行为，在佛教文献中常指趣入某种修行,
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།,入菩萨行论,佛教文献,印度佛教论著的标题，讲述菩萨修行的重要论典,从源文分析：这是藏文原标题的完整形式，对应梵文Bodhicaryāvatāra，是寂天菩萨所著的重要佛教论典,文献
བོད་སྐད་དུ།,藏语中,语言标识,表示随后内容使用藏语表达,从源文分析：由'བོད་'(藏)、'སྐད་'(语言)和方位助词'དུ།'组成，表示'以藏语'或'在藏语中',
བྱང་ཆུབ་སེམས,菩提心,哲学术语,佛教中指追求觉悟的心，是成佛度化众生的发心，在本偈颂中被分为两种类型。,从源文分析：藏文中「བྱང་ཆུབ་སེམས」对应梵文 bodhicitta，是佛教修行的核心概念，文本将其分为两个层面。,
རྣམ་པ་གཉིས,二种,分类术语,用于描述菩提心的两种类型或分类，即愿菩提心和行菩提心。,从源文分析：「རྣམ་པ་གཉིས」在文法结构上是名词「རྣམ་པ」(种类/形式)加数词「གཉིས」(二)的组合，表示菩提心的两种形式。,
བྱང་ཆུབ་སྨོན་པའི་སེམས,愿求菩提之心,修行术语,菩提心的第一种类型，指对菩提觉悟的愿望和立志成佛度生的愿心层面。,从源文分析：对应梵文 praṇidhicitta，「སྨོན་པའི་」是'愿求的'之意，表示发愿层面，是菩提心的第一个阶段。,
བྱང་ཆུབ་འཇུག་པ,趣入菩提之行,修行术语,菩提心的第二种类型，指实际践行菩萨道的行动层面。,从源文分析：对应梵文 prasthāna，「འཇུག་པ」意为'进入/行动'，表示实践层面，是将愿菩提心付诸行动的阶段。,
མདོར་བསྡུས,总而言之,文学用语,用于简要概括或总结一个主题，此处用来引出对菩提心分类的说明。,从源文分析：「མདོར་བསྡུས」是条件副词结构，意为'如果简要概括'，译文采用'总而言之'来表达同样的引导总结的作用。,
ཤེས་བྱ,当知,教学术语,表示应当了知或理解的内容，此处指菩提心的两种分类。,从源文分析：「ཤེས་བྱ」是未来被动分词，表示'应当了知'的意思，在佛教文献中常用来引出重要教义。,
